Bestbuy_name,Bestbuy_sku,Bestbuy_price,Bestbuy_link
"Single Monitor Mount, Desk Mount for 13-32 inch Computer Screen, Adjustable Tall Monitor Arm with 25 inch Max Height, Holds 4.4-19.8 lbs, Full Motion VESA Mount, Black",17943472,129.99,https://www.bestbuy.ca/en-ca/product/17943472
"Single Monitor Desk Mount, Adjustable Gas Spring Monitor Arm Support Max 32 Inch, 4.4-17.6lbs Screen, with Clamp/Grommet Mounting Base, VESA Mount Bracket, White",17943484,129.99,https://www.bestbuy.ca/en-ca/product/17943484
"Single Monitor Desk Mount, Adjustable Gas Spring Monitor Arm Support Max 32 Inch, 4.4-17.6lbs Screen, with Clamp/Grommet Mounting Base, VESA Mount Bracket, Black",17943478,119.99,https://www.bestbuy.ca/en-ca/product/17943478
Alienware 500Hz Gaming Monitor - AW2524H,17154913,1029.99,https://www.bestbuy.ca/en-ca/product/17154913
3M Computer Privacy Screen Filter for 27 inch Monitors - Black - Widescreen 16:9 - PF270W9B,17356275,276.66,https://www.bestbuy.ca/en-ca/product/17356275
STARTECH USB-C Triple Monitor Docking Station - Space Gray (116N-USBC-DOCK),16982969,308.99,https://www.bestbuy.ca/en-ca/product/16982969
"5FT3 Prong AC Power Cord for Personal Computer,Vizio,PC Monitor,Plasma bravia uhd Smart TV, Acer Asus HP Samsung...",15046511,10.0,https://www.bestbuy.ca/en-ca/product/15046511
"ZHIY 3 Prong AC Power Cord 5ft for Personal Computer,Vizio,PC Monitor,Plasma bravia uhd Smart TV, Supply Plug",14812294,10.0,https://www.bestbuy.ca/en-ca/product/14812294
Alienware 27 Gaming Monitor - AW2724DM,17983236,499.99,https://www.bestbuy.ca/en-ca/product/17983236
Single Monitor Articulating Spring Arm Desk Mount MI-1771,12978043,139.99,https://www.bestbuy.ca/en-ca/product/12978043
HLD USB-C Hub Docking Station with Dual HDMI Display Port 3 USB Ports SD TF Card Reader for Dell HP Surface Lenovo,15462787,69.99,https://www.bestbuy.ca/en-ca/product/15462787
"Dell 23.8"" FHD 1080p LED IPS 75Hz 4ms AMD FreeSync Silver Moniter (S2421HS)",16245941,347.81,https://www.bestbuy.ca/en-ca/product/16245941
Dell Display Port to VGA (DANBNBC084),10914529,34.99,https://www.bestbuy.ca/en-ca/product/10914529
New Genuine Dell Inspiron 15 5551 5552 5555 5558 5559 JJ45K Lcd Led Touch Screen,13296869,164.98,https://www.bestbuy.ca/en-ca/product/13296869
New Genuine Dell Inspiron 15 3558 JJ45K Lcd Led Touch Screen B156XTK01.0,13296868,164.98,https://www.bestbuy.ca/en-ca/product/13296868
New Genuine Dell Inspiron B156XTK01.0 JJ45K Lcd Led Touch Screen 15.6 1366x768,13296959,164.98,https://www.bestbuy.ca/en-ca/product/13296959
New Genuine Dell Inspiron 15 3552 5551 5552 5555 5558 5559 JJ45K WWJY1 Lcd Led Touch Screen,13296867,164.98,https://www.bestbuy.ca/en-ca/product/13296867
DELL OPTIPLEX 5090 - SFF - CORE I5 11500 2.7 GHZ - 16 GB - SSD 256 GB,15748030,1209.99,https://www.bestbuy.ca/en-ca/product/15748030
"Dell Latitude 5000 5420 14"" Notebook - Full HD - 1920 x 1080 - Intel Core i5 11th Gen i5-1145G7 Quad-core (4 Core) 2.60 GHz - 8 GB RAM - 256 GB SSD - Black",15748054,799.7,https://www.bestbuy.ca/en-ca/product/15748054
DELL AX510 Ultrasharp and Professional Series Flat Panel Stereo Soundbar,10441689,30.0,https://www.bestbuy.ca/en-ca/product/10441689
"Dell Inspiron 5415 AIO (2022) | 23.8"" FHD | Core Ryzen 3 - 256GB SSD - 8GB RAM | 4 Cores @ 4.1 GHz",16584867,1285.19,https://www.bestbuy.ca/en-ca/product/16584867
"Dell Inspiron 5415 AIO (2022) | 23.8"" FHD | Core Ryzen 5 - 512GB SSD - 8GB RAM | 6 Cores @ 4.3 GHz",16621861,1575.32,https://www.bestbuy.ca/en-ca/product/16621861
